Gender,Price (INR),NumImages,ProductID,Description,PrimaryColor
Women,593,5,10182131,"Off-White printed woven A-line  top, has a round neck, three-quarter sleeves, and hook and eye closure", White
Men,6396,5,10052169,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: ChronographStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case", Black
Women,599,5,10168643,"Blue printed knitted regular  top, has a high neck, and three-quarter sleeves",Blue
Men,1034,5,10155427,"Grey and Purple checked smart casual shirt, has a spread collar, short sleeves, button placket, and curved hem", Grey
Men,477,3,10191059,Beige and Brown striped beltReversible: NoStretchable: NoSecured with a tang closureWarranty: 6 monthsWarranty provided by brand/manufacturer, Brown
Women,1715,5,10266533,"Red & golden bandhani print Anarkali kurta with panelled detail, has a mandarin collar, three-quarter sleeves, flared hem and attached lining", Red
Women,1227,5,10174691,"A pair of beige round toe sandals, has regular styling, closed back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heel", Beige
Unisex,749,4,10097063,Set content: Single Door curtainsColour: RedPattern: Striped DoorLight blocking: RegularFitting: EyeletLining: No, Red
Unisex,1497,5,10111417,Set content: 3 Cushion Covers Colour: Green Shape: Square Pattern: Ethnic Motifs Closure: Zip, Green
Women,995,4,10216749,Nude-Coloured solid full-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: Moisture Wicking, Red
Unisex,699,3,10018875,Set content: One runnerType: Table runnerColour: GreenFabric: PolycottonShape: RectangularPattern: PrintedDisclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings., Green
Women,3490,5,10073703,"Pink solid handheld bag, has a zip closure1 main compartment, 1 external and 4 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strapWarranty: 1 yearWarranty provided by brand/manufacturer", Pink
Men,539,5,10012879,A pair of silver-toned and yellow geometric printed cufflinks,Blue
Women,1995,5,10088949,"A pair of black peep toe heels, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 yearWarranty provided by brand/manufacturer", Black
Men,499,4,10073227,"Black solid T-shirt, has a Henley neck, and short sleeves", Black
Women,1999,5,10259671,"Beige solid mid-rise trousers, button closure, and 4 pockets", Beige
Men,2274,5,10075921,"A pair of round-toe blue sneakers, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer",Blue
Women,1084,6,10258381,"Plum Green Tea Alcohol-Free TonerWhat it isPlum Green Tea alcohol-free tonerWhat it doesAstringency (tightness) on your skin that you can feel - great for enlarged poresAntioxidant organic green tea extracts that help control blemishes and acne (pimples)Gentle exfoliation of debris and dead cells thanks to glycolic acid100% alcohol-freeDoes not dry face like alcohol-based tonersRich in green tea extracts - tones, hydrates and clarifies skinGlycolic acid helps weed out dead cellsHand-picked non-comedogenic ingredientIngredientsGreen teaGlycolic acidGlycerinePlum NaturStudio All-Day-Wear Kohl Kajal with SharpnerShade name: BlackWhat it is:Natural Studio All-Day-Wear Kohl KajalComes with a sharpnerWhat it doesNaturStudio All-Day-Wear Kohl Kajal is safe for use as a liner and as a kohl-kajalGo ahead, create looks to your heart's contentWaterproof and smudge-free formulaIngredientsHydrogenated Castor OilRice Bran WaxNatural Vitamin EPlum Green Tea Mattifying Moisturiser 50 mlWhat it isGreen tea mattifying moisturiserWhat it doesGives matte finishAcne combatGives a fresh and clear appearanceControls hydration and prevents oxidative stressParaben, phthalate and SLS-freeIngredientsGreen tea extractsGlycolic acidGlycerin",
Unisex,999,3,10013405,Set content: 1 open dry binColour: Orange and pinkPattern: Floral printShape: Rectangular, Pink
Men,4699,5,10108999,"A pair of round-toed olive green sneakers, has regular styling, lace-up detailSynthetic Suede upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer", Green
Women,949,6,10234419,"A pair of pink open toe heels, has mid-top styling, ankle loop detailSuede upperCushioned footbedTextured and patterned outsole, has a stiletto heelWarranty: 1 monthWarranty provided by brand/manufacturer", Pink
Boys,1099,5,10256487,"Olive brown solid mid-rise trousers, button & zip closure, and 5 pockets", Brown
Girls,899,3,10062167,"Blue and White striped knitted A-line dress with bow detail, has a square neck, sleeveless, flared hem",Blue
